name,level
Cottidae,3
Peprilus sp ,2
Sardinops sagax,3
Caulolatilus princeps,4
Chromis punctipinnis,3
Girella nigricans,3
Kyphosus analogus,2
Medialuna californiensis,3
Zooplankton,1
Sebastes auriculatus,6
Shrimp,2
Porichthys notatus,4
Scorpaenichthys marmoratus,7
Clupeiformes (anchovies herrings),1
Semicossyphus pulcher,7
Paralichthys californicus,9
squids,3
Jellyfish,2
Bivalves,2
Pugettia producta,2
Oxyjulis californica,5
Seriola lalandi,5
Hypsypops rubicundus,4
Scomber japonicus,4
Octopus sp ,8
Pleurancodes planipes,2
Synodus lucioceps,3
Sphyraena argentea,6
Rhinobatos productus,3
Cephaloscyllium ventriosum,4
Cancer magister,3
Mola mola,5
Prionace glauca,6
Atractoscion nobilis,5
Gymnothorax mordax,8
Embiotoca jacksoni,5
Rhacochilus toxotes,6
Rhacochilus vacca,5
crabs,3
Menticirrhus undulatus,3
Paralabrax clathratus,8
Polychaeta,2
Panulirus interruptus,5
Pteroplatytrygon violacea,6
Halichoeres semicinctus,5
Squatina californica,8
Callinectes bellicosus,3
Anomura,2
Cynoscion parvipinnis,1
Trachinotus paitensis,3
Trachinotus kennedyi,3
Balistes polylepis,4
Cheilotrema saturnum,4
Squalus acanthias,6
Cancer anthonyi,5
Heterodontus francisci,6
Brachyistius frenatus,3
Paralabrax nebulifer,7
Platyrhinoidis triseriata,6
Urolophus halleri,5
Triakis semifasciata,8
Anisotremus davidsoni,4
Myliobatis californica,4
Mycteroperca Epinephelus sp ,6
Eucinostomus spp ,4
Bodianus diplotaenia,4
Heterostichus rostratus,6
Centrostephanus coronatus,3
Sarda chiliensis,4
Hypsurus caryi,4
Loxorhynchus crispatus,4
Strongylocentrotus purpuratus,2
Strongylocentrotus franciscanus,2
Norrissia norrissii,2
Megastraea undosa,2
Bryozoan,2
Lopholithodes sp ,2
Parastichopus parvimensis,1
Scorpaena guttata,8
Stereolepis gigas,9
Phytoplankton,1
Haliotis fulgens,2
Haliotis corrugata,2
Echinodermata,4
Kelletia kelletii,3
Hinnites multirugosus,2
Megathura crenulata,3
Eucidaris thouarsii,2
Porifera,2
Other algae,1
Tegula sp ,2
Phyllospadix torreyi,1
Eisenia arborea,1
Cystoceira osmundacea,1
Microlepidotus inornatus,4
Anisotremus interruptus,3
Sphyrna sp ,9
Tursiops truncatus,9
Carcharhinus porosus,8
Calamus brachysomus,4
Phalacrocorax pelagicus,7
Pelecanus occidentalis,8
Larus occidentalis,5
Zalophus californianus,8
Phoca vitulina,8
Torpedo californica,9
Antennarius avalonis,3
Kathetostoma averruncus,4
Pristigenys serrula,1
Gymnura marmorata,3
Raja rhina,7
Zapteryx exasperata,4
Sphoeroides annulatus,5
Taliepus nuttallii,2
Alopias pelagicus,4
Caulolatilus affinis,4
Isurus oxyrinchus,10
Mustelus califomicus,5
Pontinus vaughani,4
Rhinoptera steindachneri,4
